Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GMRS Channels,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
1,GMRS 1 M,462.562500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,6.0W,GMRS channel,,,,
2,GMRS 2 M,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
3,GMRS 3 M,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
4,GMRS 4 M,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
5,GMRS 5 M,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
6,GMRS 6 M,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
7,GMRS 7 M,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
8,GMRS 8 L,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,GMRS channel,,,,
9,GMRS 9 L,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,GMRS channel,,,,
10,GMRS 10 L,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,GMRS channel,,,,
11,GMRS 11 L,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,GMRS channel,,,,
12,GMRS 12 L,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,GMRS channel,,,,
13,GMRS 13 L,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,GMRS channel,,,,
14,GMRS 14 L,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,GMRS channel,,,,
15,GMRS 15 H,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
16,GMRS 16 H,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
17,GMRS 17 H,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
18,GMRS 18 H,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
19,GMRS 19 H,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
20,GMRS 20 H,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
21,GMRS 21 H,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
22,GMRS 22 H,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,GMRS channel,,,,
23,GMRS 23 H,467.550000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,GMRS Repeater,,,,
24,GMRS 24 H,467.575000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,GMRS Repeater,,,,
25,GMRS 25 H,467.600000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,GMRS Repeater,,,,
26,GMRS 26 H,467.625000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,GMRS Repeater,,,,
27,GMRS 27 H,467.650000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,GMRS Repeater,,,,
28,GMRS 28 H,467.675000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,GMRS Repeater,,,,
29,GMRS 29 H,467.700000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,GMRS Repeater,,,,
30,GMRS 30 H,467.725000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,GMRS Repeater,,,,
32,APRS 6m,50.620000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
33,APRS 2m,144.390000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
34,APRS 70c,437.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
36,VHF ISS SSTV,145.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
37,UHF ISS SSTV,437.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
40,Winchester GMRS Repeaters,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
41,WQPL257,462.550000,+,5.000000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,WQPL257 Mountain Winchester GMRS Repeater,,,,
42,COMM 2,462.675000,+,5.000000,DTCS,88.5,88.5,114,NN,114,Tone->Tone,FM,5.00,,6.0W,COMM 2 Mountain Winchester GMRS Repeater,,,,
43,BlueMountain,462.600000,+,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,Blue Mountain Front Royal GMRS Repeater,,,,
44,WSCR594,462.625000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,WSCR594 Moorefiled WV GMRS Repeater,,,,
45,Warrenton,462.725000,+,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,Warrenton GMRS Repeater,,,,
48,Baltimore GMRS Repeaters,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
49,Towson 600,462.600000,+,5.000000,Tone,192.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,Towson 600 GMRS Repeater,,,,
50,Digger,462.675000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,6.0W,Digger Pasadena MD GMRS Repeater,,,,
51,York575,462.575000,,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
54,Fairfax GMRS Repeaters,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
55,Seven Corners,462.550000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"WPON592 near Falls Church, Fairfax County, Virginia OPEN Repeater is Open Access using PL Code 141.3 Hz (4A). All other PL Codes are private.",,,,
56,Clarendon,462.575000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"KAD6329 near Arlington, Arlington County, Virginia OPEN Repeater is Open Access using PL Code 141.3 Hz (4A). All other PL Codes are private.",,,,
57,"Mount Vernon, VA",462.575000,+,5.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WRDF311 near Alexandria, Fairfax County, Virginia OPEN Please feel free to use this repeater and enjoy and have fun. ",,,,
58,West End Alexandria,462.600000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"KAB7046 near Alexandria, (independent) County, Virginia OPEN Repeater is open access using PL Code 141.3 Hz (4A) only. All other PL Codes are private. ",,,,
59,WSDH649,462.600000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"WSDH649 near Stafford, Stafford County, Virginia OPEN ",,,,
60,Fort Ward Park; NW Alexandria,462.625000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"WPON592 near Alexandria, (independent) County, Virginia OPEN Repeater is Open Access using PL Code 123.0 (3Z).",,,,
61,Bull Run Mountain,462.650000,+,5.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"WPON592 near Haymarket, Prince William County, Virginia OPEN Repeater is Open Access using PL Code 146.2 (4B).",,,,
62,Seven Corners,462.675000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"KAD6329 near Falls Church, Fairfax County, Virginia OPEN Repeater is Open Access using PL Code 141.3 Hz (4A). All other PL Codes are private.",,,,
64,Springfield GMRS Repeaters,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
